Date,Ticker,Closing Price,Dividend Amount
2020-06-23,AGNC,13.039999961853027,0.0
2020-06-24,AGNC,12.819999694824219,0.0
2020-06-25,AGNC,13.1899995803833,0.0
2020-06-26,AGNC,12.760000228881836,0.0
2020-06-29,AGNC,12.930000305175781,0.12
2020-06-30,AGNC,12.899999618530273,0.0
2020-07-01,AGNC,12.850000381469727,0.0
2020-07-02,AGNC,12.720000267028809,0.0
2020-07-06,AGNC,12.930000305175781,0.0
2020-07-07,AGNC,12.819999694824219,0.0
2020-07-08,AGNC,12.989999771118164,0.0
2020-07-09,AGNC,12.670000076293945,0.0
2020-07-10,AGNC,12.710000038146973,0.0
2020-07-13,AGNC,12.6899995803833,0.0
2020-07-14,AGNC,12.979999542236328,0.0
2020-07-15,AGNC,13.399999618530273,0.0
2020-07-16,AGNC,13.430000305175781,0.0
2020-07-17,AGNC,13.369999885559082,0.0
2020-07-20,AGNC,13.430000305175781,0.0
2020-07-21,AGNC,13.579999923706055,0.0
2020-07-22,AGNC,13.609999656677246,0.0
2020-07-23,AGNC,13.489999771118164,0.0
2020-07-24,AGNC,13.520000457763672,0.0
2020-07-27,AGNC,13.710000038146973,0.0
2020-07-28,AGNC,13.569999694824219,0.0
2020-07-29,AGNC,13.770000457763672,0.0
2020-07-30,AGNC,13.619999885559082,0.12
2020-07-31,AGNC,13.600000381469727,0.0
2020-08-03,AGNC,13.739999771118164,0.0
2020-08-04,AGNC,13.5600004196167,0.0
2020-08-05,AGNC,13.739999771118164,0.0
2020-08-06,AGNC,13.619999885559082,0.0
2020-08-07,AGNC,13.630000114440918,0.0
2020-08-10,AGNC,13.890000343322754,0.0
2020-08-11,AGNC,13.770000457763672,0.0
2020-08-12,AGNC,13.649999618530273,0.0
2020-08-13,AGNC,13.720000267028809,0.0
2020-08-14,AGNC,13.880000114440918,0.0
2020-08-17,AGNC,13.800000190734863,0.0
2020-08-18,AGNC,13.880000114440918,0.0
2020-08-19,AGNC,13.9399995803833,0.0
2020-08-20,AGNC,13.9399995803833,0.0
2020-08-21,AGNC,14.010000228881836,0.0
2020-08-24,AGNC,14.25,0.0
2020-08-25,AGNC,14.170000076293945,0.0
2020-08-26,AGNC,14.050000190734863,0.0
2020-08-27,AGNC,14.09000015258789,0.0
2020-08-28,AGNC,14.140000343322754,0.12
2020-08-31,AGNC,14.109999656677246,0.0
2020-09-01,AGNC,14.079999923706055,0.0
2020-09-02,AGNC,13.989999771118164,0.0
2020-09-03,AGNC,13.829999923706055,0.0
2020-09-04,AGNC,13.84000015258789,0.0
2020-09-08,AGNC,14.15999984741211,0.0
